2021/01/02 13:46:30 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:60665
2021/01/02 13:46:30 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:60665
2021/01/02 13:46:30 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60665
2021/01/02 13:46:31 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60665
2021/01/02 13:46:31 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60665
2021/01/02 13:46:31 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60665
2021/01/02 13:46:31 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60665
2021/01/02 13:47:12 loginhandler.go:64: Session Establisted for User :
2021/01/02 13:47:12 loginhandler.go:65: 1
2021/01/02 13:47:13 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60689
2021/01/02 13:47:13 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60689
2021/01/02 13:47:13 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60689
2021/01/02 13:47:28 loginhandler.go:64: Session Establisted for User :
2021/01/02 13:47:28 loginhandler.go:65: 1
2021/01/02 13:47:28 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60689
2021/01/02 13:47:28 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60689
2021/01/02 13:47:28 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60689
2021/01/02 14:04:12 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:61189
2021/01/02 14:04:23 loginhandler.go:64: Session Establisted for User :
2021/01/02 14:04:23 loginhandler.go:65: 1
2021/01/02 14:04:23 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61189
2021/01/02 14:04:23 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61189
2021/01/02 14:04:23 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:61189
2021/01/02 14:04:25 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:61189
2021/01/02 14:04:28 main.go:22: localhost:8000 - DELETE - /api/v1/events/10004 - [::1]:61189
2021/01/02 14:04:28 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:61189
2021/01/02 14:05:23 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:61226
2021/01/02 14:05:23 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:61226
2021/01/02 14:05:28 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61226
2021/01/02 14:05:28 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61226
2021/01/02 14:05:28 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:61226
2021/01/02 14:05:30 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:61226
2021/01/02 14:05:30 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:61226
2021/01/02 14:05:46 main.go:22: localhost:8000 - DELETE - /api/v1/students/2 - [::1]:61240
2021/01/02 14:05:46 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:61240
2021/01/02 14:05:46 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:61240
2021/01/02 14:08:48 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61476
2021/01/02 14:08:48 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61476
2021/01/02 14:08:49 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:61476
2021/01/02 14:08:52 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:61476
2021/01/02 14:08:55 main.go:22: localhost:8000 - DELETE - /api/v1/notifications/3 - [::1]:61476
2021/01/02 14:08:55 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:61476
2021/01/02 14:08:59 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:61476
2021/01/02 14:09:14 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:61476
2021/01/02 14:09:18 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61476
2021/01/02 14:09:18 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61476
2021/01/02 14:09:18 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:61476
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:61532
2021/01/02 14:09:35 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61532
2021/01/02 14:10:56 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61610
2021/01/02 14:11:07 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:61610
2021/01/02 14:11:07 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:61610
2021/01/02 14:11:07 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:61610
2021/01/02 14:11:07 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:61610
2021/01/02 14:11:08 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:61610
2021/01/02 14:11:08 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:61610
2021/01/02 14:11:08 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:61610
2021/01/02 14:11:08 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:61610
2021/01/02 14:11:46 main.go:22: localhost:8000 - GET - /api/v1/calendar - [::1]:61629
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:62073
2021/01/02 14:17:27 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62073
2021/01/02 14:17:30 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62073
2021/01/02 14:17:44 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62073
2021/01/02 14:17:44 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62073
2021/01/02 14:17:44 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:62073
2021/01/02 14:17:49 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:62073
2021/01/02 14:18:33 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62116
2021/01/02 14:18:33 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62116
2021/01/02 14:18:33 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:62116
2021/01/02 14:18:37 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:62116
2021/01/02 14:20:12 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:62175
2021/01/02 14:20:13 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:62175
2021/01/02 14:20:13 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:62175
2021/01/02 14:20:14 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62175
2021/01/02 14:21:14 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62206
2021/01/02 14:21:14 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62206
2021/01/02 14:21:14 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:62206
2021/01/02 14:21:17 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:62206
2021/01/02 14:21:49 loginhandler.go:64: Session Establisted for User :
2021/01/02 14:21:49 loginhandler.go:65: 1
2021/01/02 14:21:49 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:62220
2021/01/02 14:21:49 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:62220
2021/01/02 14:21:49 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:62220
